ds,y,pdcp_sduoctul,DtchPrbAssnMeanUl_Rate,DtchPrbAssnMeandl_Rate
2021/5/7 20:00,6.867783333,69.07433333,0.000446667,0.0009277
2021/5/7 21:00,6.938083333,67.892,0.000487833,0.0023827
2021/5/7 22:00,6.948666667,6.207,0.000287833,0.002030833
2021/5/7 23:00,2.00427,76.68,0.000260833,0.006863333
2021/5/8 0:00,6.896,2.6666666,0.000609667,0.000677833
2021/5/8 1:00,6.7667,3.764,0.000660833,0.00026
2021/5/8 2:00,6.72627,2.323,7.83E-05,0.000677833
2021/5/8 3:00,6.646666667,6.882666667,7.70E-05,7.77E-05
2021/5/8 4:00,6.663833333,6.687666667,7.42E-05,7.33E-05
2021/5/8 5:00,6.460666667,2.827333333,9.08E-05,0.0006327
2021/5/8 6:00,6.876466667,7.733666667,0.000649667,0.00026667
2021/5/8 7:00,2.003333333,26.37033333,0.000240833,0.000786667
2021/5/8 8:00,6.9277,27.30266667,0.000339667,0.0009727
2021/5/8 9:00,6.886333333,27.93233333,0.000329667,0.006004667
2021/5/8 10:00,6.87027,67.467,0.000397,0.000847
2021/5/8 11:00,6.847783333,64.6733333,0.000468333,0.0007027
2021/5/8 12:00,6.770083333,63.22466667,0.000438333,0.000669667
2021/5/8 13:00,6.72027,30.00966667,0.000429667,0.006047
2021/5/8 14:00,6.7627,30.49833333,0.000320833,0.006077833
2021/5/8 15:00,6.866,32.47633333,0.0003077,0.006637833
2021/5/8 16:00,6.84977,60.67866667,0.0002227,0.000430833
2021/5/8 17:00,6.860833333,9.864333333,0.000308333,0.0004877
2021/5/8 18:00,6.860466667,8.670333333,0.000327833,0.0004777
2021/5/8 19:00,6.897333333,42.6,0.0007,0.006723333
2021/5/8 20:00,6.969,74.73433333,0.00073,0.006924667
2021/5/8 21:00,6.936966667,73.77633333,0.000706667,0.006844667
2021/5/8 22:00,6.870666667,68.69966667,0.000270833,0.0007677
2021/5/8 23:00,6.878466667,3.049,0.000623333,0.000647833
2021/5/9 0:00,6.843966667,2.438,8.42E-05,0.000666667
2021/5/9 1:00,6.862666667,6.828666667,6.67E-05,8.78E-05
2021/5/9 2:00,6.767666667,6.778333333,7.08E-05,6.83E-05
2021/5/9 3:00,6.344333333,0.946666667,4.08E-05,4.27E-05
2021/5/9 4:00,6.234333333,6.020333333,4.33E-05,4.92E-05
2021/5/9 5:00,6.209466667,6.326,6.20E-05,6.33E-05
2021/5/9 6:00,6.48677,3.606333333,0.000267,0.0002027
2021/5/9 7:00,6.636783333,7.867333333,0.000298333,0.000333333
2021/5/9 8:00,6.746083333,6.22066666,0.00032,0.000363333
2021/5/9 9:00,2.00727,67.62966667,0.000477833,0.000606667
2021/5/9 10:00,2.673783333,39.72666667,0.000789667,0.006678333
2021/5/9 11:00,2.389666667,77.047,0.000877833,0.002367
2021/5/9 12:00,2.234083333,47.86366667,0.000624667,0.002644667
2021/5/9 13:00,2.0407,27.40666667,0.000777,0.006070833
2021/5/9 14:00,6.804466667,68.67633333,0.0003377,0.000809667
2021/5/9 15:00,6.844783333,66.32366667,0.000306667,0.0006827
2021/5/9 16:00,6.866083333,66.02766667,0.000223333,0.000737833
2021/5/9 17:00,2.03077,66.6376666,0.0002777,0.000738333
2021/5/9 18:00,6.94227,20.69433333,0.000270833,0.000829667
2021/5/9 19:00,6.96766666,69.73766667,0.000363333,0.000809667
2021/5/9 20:00,6.773783333,62.04666667,0.000264667,0.000496667
2021/5/9 21:00,6.762,7.667333333,0.000240833,0.000376667
2021/5/9 22:00,6.778666667,8.62766666,0.000364667,0.0004977
2021/5/9 23:00,2.670966667,26.392,0.0066477,0.060647
2021/5/10 0:00,2.2397,49.37433333,0.0062977,0.062426667
2021/5/10 1:00,2.247333333,239.736,0.006676667,0.06802
2021/5/10 2:00,2.627666667,226.3746667,0.0003927,0.0080227
2021/5/10 3:00,6.99227,270.697,0.000367,0.008030833
2021/5/10 4:00,6.80627,77.78833333,0.00033,0.002226667
2021/5/10 5:00,6.708833333,78.07733333,0.000267833,0.002073333
2021/5/10 6:00,6.486466667,60.62333333,0.000203333,0.000774667
2021/5/10 7:00,6.768783333,66.87333333,0.000227,0.000600833
2021/5/10 8:00,6.742966667,32.07233333,0.006076667,0.0060777
2021/5/10 9:00,2.0967,42.30866667,0.006963333,0.00667
2021/5/10 10:00,2.377333333,70.20666667,0.002627,0.0062977
2021/5/10 11:00,2.364,37.64633333,0.002369667,0.006064667
2021/5/10 12:00,2.26666667,33.37333333,0.002066667,0.000864667
2021/5/10 13:00,2.27677,36.696,0.002298333,0.000876667
2021/5/10 14:00,2.367333333,70.64633333,0.002446667,0.006277
2021/5/10 15:00,2.38777,70.466,0.002389667,0.00626667
2021/5/10 16:00,2.43666667,67.646,0.002830833,0.006743333
2021/5/10 17:00,2.460333333,77.74633333,0.002934667,0.006648333
2021/5/10 18:00,2.46627,63.96433333,0.003324667,0.006927833
2021/5/10 19:00,2.326833333,46.864,0.0026,0.006760833
2021/5/10 20:00,2.222833333,40.907,0.0026727,0.00634
2021/5/10 21:00,2.232783333,26.83333333,0.006463333,0.006007
2021/5/10 22:00,2.329666667,23.70233333,0.006236667,0.000967
2021/5/10 23:00,2.7307,68.76366667,0.000983333,0.000807
2021/5/11 0:00,2.677783333,67.69666667,0.000876667,0.000763333
2021/5/11 1:00,2.732833333,9.673333333,0.000787833,0.000780833
2021/5/11 2:00,2.66666667,8.720666667,0.000734667,0.000764667
2021/5/11 3:00,2.322666667,9.689333333,0.000760833,0.000767833
2021/5/11 4:00,2.689,9.824666667,0.000728333,0.000746667
2021/5/11 5:00,2.878466667,22.3777,0.000776478,0.006229377
2021/5/11 6:00,3.662466667,30.04866667,0.006300627,0.006362708
2021/5/11 7:00,3.372666667,42.66983333,0.006962292,0.006780208
2021/5/11 8:00,2.847833333,46.36333333,0.00242,0.006076667
2021/5/11 9:00,2.97627,40.30933333,0.002327833,0.00666
2021/5/11 10:00,2.870083333,37.72733333,0.002000833,0.006076667
2021/5/11 11:00,2.832666667,30.27033333,0.0066977,0.000969667
2021/5/11 12:00,2.746,26.086,0.0064827,0.00067833
2021/5/11 13:00,2.909666667,36.86233333,0.00678,0.006078333
2021/5/11 14:00,2.882333333,70.377,0.002099667,0.006748333
2021/5/11 15:00,2.88827,73.68033333,0.002306667,0.006763333
2021/5/11 16:00,2.787083333,74.723,0.002324667,0.006680833
2021/5/11 17:00,2.903333333,664.3676667,0.002707833,0.004248333
2021/5/11 18:00,2.978783333,626.3906667,0.00286667,0.004737833
2021/5/11 19:00,3.663966667,624.4093333,0.0028827,0.004644667
2021/5/11 20:00,3.699833333,666.683333,0.002686667,0.007493333
2021/5/11 21:00,3.389966667,236.8783333,0.0026377,0.00807
2021/5/11 22:00,3.7067,224.72,0.006787833,0.00646667
2021/5/11 23:00,3.76727,639.464,0.0064777,0.004964667
2021/5/12 0:00,3.402083333,637.4646667,0.006648333,0.004426667
2021/5/12 1:00,3.03327,300.7703333,0.000827833,0.009470833
2021/5/12 2:00,2.7767,306.6983333,0.000646667,0.009396667
2021/5/12 3:00,2.078783333,237.868,0.00046,0.0074227
